,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,U001,0200020431,DEC co,2020-04-01 13:41:13.937500000,2020.0,1930681851.0,2020-03-21 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,3339.98,
1,U001,0140142846,MONDE in,2020-04-30 18:26:29.156250000,2020.0,1930584826.0,2020-03-04 00:00:00.000000000,2020-05-03 00:00:00.000000000,2020-03-04 00:00:00.000000000,NACB,4590.37,
2,U001,0200744019,TARG llc,2020-04-09 10:46:58.046875000,2020.0,1930700535.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,9968.8,
3,U001,0200424504,M  co,2020-05-17 15:21:01.734375000,2020.0,1930860920.0,2020-05-06 00:00:00.000000000,2020-05-15 00:00:00.000000000,2020-05-15 00:00:00.000000000,NACH,955.63,0-15
4,U001,0200782669,SYGMA systems,2020-04-07 04:13:44.468750000,2020.0,1930678762.0,2020-03-20 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-20 00:00:00.000000000,NAD1,34667.72,
5,U001,0200353024,DECA llc,2020-05-02 13:41:13.937500000,2020.0,1930811821.0,2020-04-22 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,5422.84,
6,U001,0200769623,WAL-MAR trust,2020-05-16 09:31:08.398437500,2020.0,1930849053.0,2020-05-02 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-05-02 00:00:00.000000000,NAH4,4699.59,
7,U001,0200744019,TARG in,2020-03-25 10:46:58.046875000,2020.0,1930630803.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,15597.28,
8,U001,0200526831,PERISH llc,2020-04-30 18:28:55.750000000,2020.0,1930800614.0,2020-04-18 00:00:00.000000000,2020-05-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,NAA8,90803.34,
9,U001,0200769623,WAL-MAR trust,2020-04-14 09:31:08.398437500,2020.0,1930718190.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,4011.01,
10,CA02,140104409,LOB llc,2020-04-12 05:14:03.750000000,2020.0,2960623952.0,2020-03-26 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-04-02 00:00:00.000000000,CA10,68934.66299999999,0-15
11,U001,0200769623,WAL-MAR us,2020-03-29 09:31:08.398437500,2020.0,1930651189.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,71201.44,
12,U001,0200705742,DOT systems,2020-04-10 00:06:58.156250000,2020.0,1930650951.0,2020-03-13 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAW,3796.51,
13,U001,0200712187,SPAR corporation,2020-05-17 10:46:58.046875000,2020.0,1930857506.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,36944.78,
14,U001,0200769623,WAL-MAR corporation,2020-03-14 09:31:08.398437500,2020.0,1930582324.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,42065.79,
15,U001,0200723794,MID MO co,2020-04-19 06:13:14.906250000,2020.0,1930752315.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,39383.06,
16,U001,0200786288,FAMILY llc,2020-04-25 03:31:46.203125000,2020.0,1930776947.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAC6,13197.76,
17,U001,0200771157,WEIS us,2020-05-08 06:50:14.421875000,2020.0,1930814030.0,2020-04-22 00:00:00.000000000,2020-05-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,NAA8,69388.23,0-15
18,U001,0200769623,WAL-MAR llc,2020-03-22 09:31:08.398437500,2020.0,1930620811.0,2020-03-08 00:00:00.000000000,2020-03-23 00:00:00.000000000,2020-03-08 00:00:00.000000000,NAH4,67122.68,
19,U001,0200769623,WAL-MAR associates,2020-05-16 09:31:08.398437500,2020.0,1930846947.0,2020-05-02 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-05-02 00:00:00.000000000,NAH4,661.11,
20,U001,0200965912,C&S W systems,2020-03-24 18:25:20.851562500,2020.0,1930627403.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAC6,56.82,0-15
21,U001,200718130,SYSCO F associates,2020-03-23 10:46:58.046875000,2020.0,1930637716.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,34242.39,
22,U001,0200794332,COST co,2020-03-30 00:13:00.234375000,2020.0,1930649383.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAAX,49234.61,
23,U001,0200769623,WAL-MAR ,2020-04-06 09:31:08.398437500,2020.0,1930687125.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAH4,50129.57,
